username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Mayankaryan084;2015-11-21 23:24;50;18;"First time in history tirupati balaji temple is closed for Darsham......due to #ChennaiFloods pic.twitter.com/bv0sOJMuOb";;;#ChennaiFloods;"668125434760921088";https://twitter.com/Mayankaryan084/status/668125434760921088
deeepakkher;2015-12-02 05:29;0;0;"#ChennaiFloods havoc caused by incessant rains and the flooding as a result, continues to cause misery to the city. sympathise with citizens";Pune, India;;#ChennaiFloods;"671841135778598914";https://twitter.com/deeepakkher/status/671841135778598914
sreeni94;2015-12-02 05:29;9;0;"Blankets....Bread.. Biscuits PL Share #ChennaiFloods #chennairainshelp #chennairains pic.twitter.com/YqgKUwXmtg";;;#ChennaiFloods #chennairainshelp #chennairains;"671841120574312448";https://twitter.com/sreeni94/status/671841120574312448
sreeni94;2015-12-02 05:28;4;0;"PLease Share #ChennaiFloods #chennairainshelp #chennairains https:// twitter.com/SoBadRa/status /671747826733355008 ";;;#ChennaiFloods #chennairainshelp #chennairains;"671840754554159104";https://twitter.com/sreeni94/status/671840754554159104
TomSaterCNN;2015-12-02 05:27;14;1;"Dire situation with #ChennaiFloods India. Worst rains in 100 yrs. Nov. total 1,196 mm (47"). Rescues ongoing. @cnni pic.twitter.com/R6ce4HXl3f";;@cnni;#ChennaiFloods;"671840583267319808";https://twitter.com/TomSaterCNN/status/671840583267319808
boazbchacko;2015-12-02 05:25;0;0;"#ChennaiFloods , Army Helpline - 98402 95100. ( Thiruvanmiyur a Good Samaritan can accommodate 2 people -99944 76633 ) Please Retweet.";;;#ChennaiFloods;"671840151245602817";https://twitter.com/boazbchacko/status/671840151245602817
AmerPadma;2015-12-02 05:24;1;0;"#Chidambaram #Karthi 's vasan eyecare mushroomed all over #Chennai TN with #corrupt lightening speed #ChennaiFloods https:// twitter.com/minhazmerchant /status/671613170675490816 ";;;#Chidambaram #Karthi #Chennai #corrupt #ChennaiFloods;"671839881560129537";https://twitter.com/AmerPadma/status/671839881560129537
Seethalakshmikr;2015-12-02 05:21;0;0;"#ChennaiFloods #ChemnaiRains https:// twitter.com/ChennaiRains/s tatus/671833492846587904 ";;;#ChennaiFloods #ChemnaiRains;"671839084449402882";https://twitter.com/Seethalakshmikr/status/671839084449402882
MillionSwords;2015-12-02 05:21;1;0;"#ChennaiFloods #ChennaiFloods OLA9445190008 (OLA boats anna nagar) stranded ppl pl call here or lv a SOS we will try";;;#ChennaiFloods #ChennaiFloods;"671838985098911748";https://twitter.com/MillionSwords/status/671838985098911748
harihara89;2015-12-02 05:20;0;0;"Hope everyone is safe and these rains go away #ChennaiFloods";San Francisco, CA;;#ChennaiFloods;"671838848406519808";https://twitter.com/harihara89/status/671838848406519808
_AchheDin;2015-12-02 05:20;1;0;"#ChennaiFloods : #IndianNavy 's rescue team deployed in Gandhinagar area beyond Adyar Bridge along Buckingham Canal pic.twitter.com/sbEZm7KCni";London, England;;#ChennaiFloods #IndianNavy;"671838721906499584";https://twitter.com/_AchheDin/status/671838721906499584
MangoBwoy;2015-12-02 05:18;0;0;"Relief centers in Chennai contact Numbers #ChennaiFloods #ChennaiRainsHelp #chennairains pic.twitter.com/lKTXsNnlfX";;;#ChennaiFloods #ChennaiRainsHelp #chennairains;"671838190525812736";https://twitter.com/MangoBwoy/status/671838190525812736
IMD_Weather;2015-12-02 05:17;1;2;"#chennairains #ChennaiFloods Army, Navy out in #Chennai amid heavy rain; inundated airport shut down | http:// m.hindustantimes.com/india/flood-al ert-sounded-as-heavy-rains-lash-chennai-parts-of-tamil-nadu/story-wr651F4bDKn7xNZ8mnXvZM.html ";;;#chennairains #ChennaiFloods #Chennai;"671838155054514176";https://twitter.com/IMD_Weather/status/671838155054514176
ImPradeepKumar;2015-12-02 05:14;12;1;"5 - 8 ppl Accommodation available near adambakkam contact Vignesh 9994434657. #chennairains #ChennaiFloods #ChennaiRainsHelp #ChennaiRescue";;;#chennairains #ChennaiFloods #ChennaiRainsHelp #ChennaiRescue;"671837281590767616";https://twitter.com/ImPradeepKumar/status/671837281590767616
newhariharan;2015-12-02 05:12;1;1;"This is the time where we should raise against insurance companies for house insurances #raisechennai #chennairains #ChennaiFloods";;;#raisechennai #chennairains #ChennaiFloods;"671836788357468162";https://twitter.com/newhariharan/status/671836788357468162
s_khushu;2015-12-02 05:12;1;0;"When will flights resume at Chennai airport? Ppl. stuck in terminal. Urgent @moca_goi @airindiain @flyspicejet #chennairains #ChennaiFloods";;@moca_goi @airindiain @flyspicejet;#chennairains #ChennaiFloods;"671836757353037825";https://twitter.com/s_khushu/status/671836757353037825
