username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink
Mayankaryan084	21-11-2015 23:24	50	18	First time in history tirupati balaji temple is closed for Darsham......due to #ChennaiFloods pic.twitter.com/bv0sOJMuOb			#ChennaiFloods	668125434760921088	https://twitter.com/Mayankaryan084/status/668125434760921088
deeepakkher	02-12-2015 05:29	0	0	#ChennaiFloods havoc caused by incessant rains and the flooding as a result					
sreeni94	02-12-2015 05:29	9	0	Blankets....Bread.. Biscuits PL Share #ChennaiFloods #chennairainshelp #chennairains pic.twitter.com/YqgKUwXmtg			#ChennaiFloods #chennairainshelp #chennairains	671841120574312448	https://twitter.com/sreeni94/status/671841120574312448
sreeni94	02-12-2015 05:28	4	0	PLease Share #ChennaiFloods #chennairainshelp #chennairains https:// twitter.com/SoBadRa/status /671747826733355008 			#ChennaiFloods #chennairainshelp #chennairains	671840754554159104	https://twitter.com/sreeni94/status/671840754554159104
sreeni94	02-12-2015 05:27	1	0	Schools					
TomSaterCNN	02-12-2015 05:27	14	1	Dire situation with #ChennaiFloods India. Worst rains in 100 yrs. Nov. total 1					
boazbchacko	02-12-2015 05:25	0	0	#ChennaiFloods 					
AmerPadma	02-12-2015 05:24	1	0	#Chidambaram #Karthi 's vasan eyecare mushroomed all over #Chennai TN with #corrupt lightening speed #ChennaiFloods https:// twitter.com/minhazmerchant /status/671613170675490816 			#Chidambaram #Karthi #Chennai #corrupt #ChennaiFloods	671839881560129537	https://twitter.com/AmerPadma/status/671839881560129537
Seethalakshmikr	02-12-2015 05:21	0	0	#ChennaiFloods #ChemnaiRains https:// twitter.com/ChennaiRains/s tatus/671833492846587904 			#ChennaiFloods #ChemnaiRains	671839084449402882	https://twitter.com/Seethalakshmikr/status/671839084449402882
MillionSwords	02-12-2015 05:21	1	0	#ChennaiFloods #ChennaiFloods OLA9445190008 (OLA boats anna nagar) stranded ppl pl call here or lv a SOS we will try			#ChennaiFloods #ChennaiFloods	671838985098911748	https://twitter.com/MillionSwords/status/671838985098911748
harihara89	02-12-2015 05:20	0	0	Hope everyone is safe and these rains go away #ChennaiFloods	San Francisco				
_AchheDin	02-12-2015 05:20	1	0	#ChennaiFloods : #IndianNavy 's rescue team deployed in Gandhinagar area beyond Adyar Bridge along Buckingham Canal pic.twitter.com/sbEZm7KCni	London				
MangoBwoy	02-12-2015 05:18	0	0	Relief centers in Chennai contact Numbers #ChennaiFloods #ChennaiRainsHelp #chennairains pic.twitter.com/lKTXsNnlfX			#ChennaiFloods #ChennaiRainsHelp #chennairains	671838190525812736	https://twitter.com/MangoBwoy/status/671838190525812736
IMD_Weather	02-12-2015 05:17	1	2	#chennairains #ChennaiFloods Army					
ImPradeepKumar	02-12-2015 05:14	12	1	5 - 8 ppl Accommodation available near adambakkam contact Vignesh 9994434657. #chennairains #ChennaiFloods #ChennaiRainsHelp #ChennaiRescue			#chennairains #ChennaiFloods #ChennaiRainsHelp #ChennaiRescue	671837281590767616	https://twitter.com/ImPradeepKumar/status/671837281590767616
newhariharan	02-12-2015 05:12	1	1	This is the time where we should raise against insurance companies for house insurances #raisechennai #chennairains #ChennaiFloods			#raisechennai #chennairains #ChennaiFloods	671836788357468162	https://twitter.com/newhariharan/status/671836788357468162
s_khushu	02-12-2015 05:12	1	0	When will flights resume at Chennai airport? Ppl. stuck in terminal. Urgent @moca_goi @airindiain @flyspicejet #chennairains #ChennaiFloods		@moca_goi @airindiain @flyspicejet	#chennairains #ChennaiFloods	671836757353037825	https://twitter.com/s_khushu/status/671836757353037825
ckirubha	02-12-2015 05:12	2	1	Spl Metro trains hv ben operatd in Chennai its th oni trnsprtn not afctd due to heavy rain #ChennaiFloods #chennairains #chennairainupdates			#ChennaiFloods #chennairains #chennairainupdates	671836750541684736	https://twitter.com/ckirubha/status/671836750541684736
sharankundu	02-12-2015 05:12	2	0	Stay safe my friends in Chennai. I don't know how can I be of help					
ActorVijayLove	02-12-2015 05:10	24	6	Most RT #chennairains #ChennaiRainsHelp #ChennaiFloods #PrayforChennai @VTLTeam @gayathriraguram @AnjanaVJ pic.twitter.com/YDTV96xBDX		@VTLTeam @gayathriraguram @AnjanaVJ	#chennairains #ChennaiRainsHelp #ChennaiFloods #PrayforChennai	671836182838452224	https://twitter.com/ActorVijayLove/status/671836182838452224
vaishVV	02-12-2015 05:07	0	0	Tamil Nadu is floating and I see it hardly being mentioned in any national news channels. #ChennaiFloods #chennairains			#ChennaiFloods #chennairains	671835604548620288	https://twitter.com/vaishVV/status/671835604548620288
SivaKOfficial	02-12-2015 05:07	0	2	It's so heartwarming tosee the whole of chennai united at this time #chennairains #Humanity #ChennaiFloods #chennaiweather @anirudhofficial		@anirudhofficial	#chennairains #Humanity #ChennaiFloods #chennaiweather	671835426613682176	https://twitter.com/SivaKOfficial/status/671835426613682176
Pradeep_Kunnath	02-12-2015 05:05	0	0	so good to see ppl rising to the occasion. #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671835158480228352	https://twitter.com/Pradeep_Kunnath/status/671835158480228352
WMN4SRVL	02-12-2015 05:05	0	0	A Major Indian City has Been Underwater For a Month Now #ChennaiFloods http:// ln.is/qz.com/562779/ BejCS via @qzindia		@qzindia	#ChennaiFloods	671835043409580032	https://twitter.com/WMN4SRVL/status/671835043409580032
mohan_sakthivel	02-12-2015 05:03	1	1	Couldn't sleep when my friends 					
ThoughtsTalks	02-12-2015 05:00	0	0	Stay Safe #Chennai 					
ChennaiRains	02-12-2015 04:59	49	17	Stay Safe Chennai					
sankararaman	02-12-2015 04:55	0	0	Much needed news for people reeling in #ChennaiFloods https:// twitter.com/firstpost/stat us/671831903314440192 			#ChennaiFloods	671832429049438209	https://twitter.com/sankararaman/status/671832429049438209
